005930,000660,042700,Cash,date
0.15934619605590056,0.4206949640578396,0.41995883988625987,0.0,2021-05-31
0.1568936998640411,0.41482022913753364,0.42828607099842525,0.0,2021-06-30
0.2,0.5000000000000001,0.3,-0.0,2021-07-31
0.2053622284568084,0.49742997840244313,0.2972077931407484,-0.0,2021-08-31
0.20950158710498895,0.5079997248575162,0.2824986880374948,-0.0,2021-09-30
0.19786259093263533,0.5093339633829427,0.2928034456844219,-0.0,2021-10-31
0.190181649908329,0.5304458734703557,0.2793724766213153,-0.0,2021-11-30
0.1827613299964111,0.5333975129893835,0.2838411570142052,-0.0,2021-12-31
0.2,0.5,0.3,0.0,2022-01-31
0.20059350143164506,0.5225230924617833,0.27688340610657175,0.0,2022-02-28
0.19697922695207976,0.507867161968605,0.29515361107931537,0.0,2022-03-31
